GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
MMEL1,ENSG00000142606,2590639,2633016,1,(-),membrane metalloendopeptidase like 1,X,,3,0,,,,,
MRC2,ENSG00000011028,62627670,62693597,17,(+),mannose receptor C-type 2,X,,3,0,,,,,
PKMP5,ENSG00000215057,5972412,5974012,6,(+),pyruvate kinase M1/2 pseudogene 5,X,,3,0,,,,,
PRODH2,ENSG00000250799,35799975,35813299,19,(-),proline dehydrogenase 2,X,,3,0,,,,,
BOLA2B,ENSG00000169627,30192930,30194306,16,(-),bolA family member 2B,X,,3,0,,,,,
SOD1P1,ENSG00000219074,53196720,53197159,6,(-),superoxide dismutase 1 pseudogene 1,X,,3,0,,,,,
TMOD1,ENSG00000136842,97501180,97601743,9,(+),tropomodulin 1,X,,3,0,,,,,
PPIAP73,ENSG00000182000,149984395,149984797,3,(+),peptidylprolyl isomerase A pseudogene 73,X,,3,0,,,,,
EME1,ENSG00000154920,50373220,50381483,17,(+),essential meiotic structure-specific endonuclease 1,X,,3,0,,,,,
FTLP2,ENSG00000232368,30630298,30630825,X,(+),ferritin light chain pseudogene 2,X,,3,0,,,,,
LASTR,ENSG00000242147,5594980,5635925,10,(-),lncRNA associated with SART3 regulation of splicing,X,,3,0,,,,,
KLF8,ENSG00000102349,56232356,56291531,X,(+),KLF transcription factor 8,X,,3,0,,,,,
HSF4,ENSG00000102878,67164681,67169945,16,(+),heat shock transcription factor 4,X,,3,0,,,,,
ASMT,ENSG00000292336,1615059,1643081,Y,(+),acetylserotonin O-methyltransferase,X,,3,0,,,,,
MSC,ENSG00000178860,71841552,71844496,8,(-),musculin,X,,3,0,,,,,
UBBP1,ENSG00000230037,136329441,136329913,2,(-),ubiquitin B pseudogene 1,X,,3,0,,,,,
ENO3,ENSG00000108515,4948046,4957132,17,(+),enolase 3,X,,3,0,,,,,
RHOF,ENSG00000139725,121768283.0,121803403.0,12,(-),"ras homolog family member F, filopodia associated",X,X,4; 8; 18,1,,,,,
ROCK1P1,ENSG00000263006,116842.0,118504.0,18,(+),Rho associated coiled-coil containing protein kinase 1 pseudogene 1,,X,4,0,,,,,
CTNND2,ENSG00000169862,10971836.0,11904507.0,5,(-),catenin delta 2,,X,4,0,,,,,
GRK5,ENSG00000198873,119207538.0,119459758.0,10,(+),G protein-coupled receptor kinase 5,,X,4,0,,,,,
GPX4,ENSG00000167468,1103982.0,1106791.0,19,(+),glutathione peroxidase 4,X,X,4; 18,1,,,,,
CUL2,ENSG00000108094,35008465.0,35127006.0,10,(-),cullin 2,,X,4,0,,,,,
ARL8B,ENSG00000134108,5122231.0,5180916.0,3,(+),ARF like GTPase 8B,,X,4,0,,,,,
TNS3,ENSG00000136205,47275149.0,47582633.0,7,(-),tensin 3,,X,4,0,,,,,
GOLGA6L9,ENSG00000197978,82429816.0,82439153.0,15,(+),golgin A6 family like 9,,X,4,0,,,,,
TMEM63A,ENSG00000196187,225845532.0,225884122.0,1,(-),transmembrane protein 63A,,X,4,0,,,,,
GASAL1,ENSG00000253669,102804677.0,102810044.0,8,(+),growth arrest associated lncRNA 1,,X,4,0,,,,,
NEXN,ENSG00000162614,77888174.0,77943898.0,1,(+),nexilin F-actin binding protein,,X,4,0,,,,,
TRA2B,ENSG00000136527,185914558.0,185938103.0,3,(-),transformer 2 beta homolog,X,X,4; 18,1,,,,,
CEP44,ENSG00000164118,174283295.0,174335043.0,4,(+),centrosomal protein 44,,X,4,0,,,,,
RUVBL1,ENSG00000175792,128063024.0,128153914.0,3,(-),RuvB like AAA ATPase 1,,X,4,0,,,,,
STRADB,ENSG00000082146,201387858.0,201502687.0,2,(+),STE20 related adaptor beta,,X,4,0,,,,,
ZNF652,ENSG00000198740,49289206.0,49362473.0,17,(-),zinc finger protein 652,,X,4,0,,,,,
CAPNS1,ENSG00000126247,36139953.0,36150356.0,19,(+),calpain small subunit 1,X,X,4; 18,1,,,,,
YWHAH,ENSG00000128245,31944465.0,31957603.0,22,(+),tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,X,X,4; 18,1,,,,,
NBAS,ENSG00000151779,15166913.0,15561340.0,2,(-),NBAS subunit of NRZ tethering complex,,X,4,0,,,,,
ZMYM4,ENSG00000146463,35268664.0,35423213.0,1,(+),zinc finger MYM-type containing 4,,X,4,0,,,,,
CCDC71L,ENSG00000253276,106654360.0,106661158.0,7,(-),coiled-coil domain containing 71 like,,X,4,0,,,,,
PTPRA,ENSG00000132670,2870754.0,3039247.0,20,(+),protein tyrosine phosphatase receptor type A,,X,4,0,,,,,
MCU,ENSG00000156026,72692088.0,72887694.0,10,(+),mitochondrial calcium uniporter,,X,4,0,,,,,
RPS18,ENSG00000231500,33271730.0,33276513.0,6,(+),ribosomal protein S18,X,X,4; 18,1,,,,,
MED14,ENSG00000180182,40648305.0,40735924.0,X,(-),mediator complex subunit 14,,X,4,0,,,,,
LAMB2,ENSG00000172037,49121113.0,49133118.0,3,(-),laminin subunit beta 2,,X,4,0,,,,,
SNRPE,ENSG00000182004,203861496.0,203871152.0,1,(+),small nuclear ribonucleoprotein polypeptide E,X,X,4; 18,1,,,,,
TDRD3,ENSG00000083544,60396457.0,60573879.0,13,(+),tudor domain containing 3,,X,4,0,,,,,
HMGCL,ENSG00000117305,23801877.0,23838620.0,1,(-),3-hydroxy-3-methylglutaryl-CoA lyase,,X,4,0,,,,,
PTGDR,ENSG00000168229,52267667.0,52276724.0,14,(+),prostaglandin D2 receptor,X,X,4; 18,1,,,,,
IFTAP,ENSG00000166352,36594369.0,36675695.0,11,(+),intraflagellar transport associated protein,,X,4,0,,,,,
NUP88,ENSG00000108559,5359641.0,5420164.0,17,(-),nucleoporin 88,,X,4,0,,,,,
CD302,ENSG00000241399,159764912.0,159798389.0,2,(-),CD302 molecule,,X,4,0,,,,,
GSPT1,ENSG00000103342,11868128.0,11916082.0,16,(-),G1 to S phase transition 1,X,X,4; 18,1,,,,,
ZBTB37,ENSG00000185278,173868082.0,173903547.0,1,(+),zinc finger and BTB domain containing 37,,X,4,0,,,,,
KMT5B,ENSG00000110066,68154863.0,68214134.0,11,(-),lysine methyltransferase 5B,,X,4,0,,,,,
GDAP1,ENSG00000104381,74320613.0,74518007.0,8,(+),ganglioside induced differentiation associated protein 1,,X,4,0,,,,,
MAP3K15,ENSG00000180815,19360056.0,19515513.0,X,(-),mitogen-activated protein kinase kinase kinase 15,,X,4,0,,,,,
TMC1,ENSG00000165091,72521608.0,72838297.0,9,(+),transmembrane channel like 1,,X,4,0,,,,,
FTSJ1,ENSG00000068438,48476021.0,48486364.0,X,(+),FtsJ RNA 2'-O-methyltransferase 1,,X,4,0,,,,,
PRDX2,ENSG00000167815,12796817.0,12801882.0,19,(-),peroxiredoxin 2,X,X,4; 18,1,,,,,
DACT3,ENSG00000197380,46646872.0,46661199.0,19,(-),dishevelled binding antagonist of beta catenin 3,,X,4,0,,,,,
PDCL3P4,ENSG00000244119,101712472.0,101713191.0,3,(+),PDCL3 pseudogene 4,,X,4,0,,,,,
DNAJB2,ENSG00000135924,219279308.0,219286900.0,2,(+),DnaJ heat shock protein family (Hsp40) member B2,,X,4,0,,,,,
PHC2,ENSG00000134686,33321755.0,33431095.0,1,(-),polyhomeotic homolog 2,,X,4,0,,,,,
GPR55,ENSG00000135898,230907318.0,230961066.0,2,(-),G protein-coupled receptor 55,,X,4,0,,,,,
MAP1S,ENSG00000130479,17719242.0,17734515.0,19,(+),microtubule associated protein 1S,,X,4,0,,,,,
UBR1,ENSG00000159459,42942897.0,43106141.0,15,(-),ubiquitin protein ligase E3 component n-recognin 1,,X,4,0,,,,,
ZNF804B,ENSG00000182348,88759700.0,89338528.0,7,(+),zinc finger protein 804B,,X,4,0,,,,,
ABL2,ENSG00000143322,179099330.0,179229684.0,1,(-),"ABL proto-oncogene 2, non-receptor tyrosine kinase",,X,4,0,,,,,
ZDHHC20,ENSG00000180776,21348784.0,21459467.0,13,(-),zDHHC palmitoyltransferase 20,,X,4,0,,,,,
SPATA17,ENSG00000162814,217631324.0,217871696.0,1,(+),spermatogenesis associated 17,,X,4,0,,,,,
MED29,ENSG00000063322,39391303.0,39400641.0,19,(+),mediator complex subunit 29,,X,4,0,,,,,
PTPN20CP,ENSG00000278561,48064308.0,48119455.0,10,(-),"protein tyrosine phosphatase non-receptor type 20C, pseudogene",,X,4,0,,,,,
SNHG28,ENSG00000188004,159834480.0,159855071.0,1,(-),small nucleolar RNA host gene 28,,X,4,0,,,,,
SYNM-AS1,ENSG00000259475,98954149.0,99105877.0,15,(-),SYNM antisense RNA 1,,X,4,0,,,,,
PLP2,ENSG00000102007,49171787.0,49175387.0,X,(+),proteolipid protein 2,X,X,4; 5; 18,1,,,,,
LDLRAP1,ENSG00000157978,25543550.0,25591296.0,1,(+),low density lipoprotein receptor adaptor protein 1,X,X,4; 18,1,,,,,
TMEM39B,ENSG00000121775,32072031.0,32102866.0,1,(+),transmembrane protein 39B,,X,4,0,,,,,
CEP72,ENSG00000112877,612305.0,667703.0,5,(+),centrosomal protein 72,,X,4,0,,,,,
SCN2B,ENSG00000149575,118162806.0,118176653.0,11,(-),sodium voltage-gated channel beta subunit 2,,X,4,0,,,,,
KLHL11,ENSG00000178502,41848513.0,41865430.0,17,(-),kelch like family member 11,,X,4,0,,,,,
SLC1A5,ENSG00000105281,46758394.0,46788617.0,19,(-),solute carrier family 1 member 5,X,X,4; 18,1,,,,,
ATP9B,ENSG00000166377,79069259.0,79378391.0,18,(+),ATPase phospholipid transporting 9B (putative),,X,4,0,,,,,
CDH13,ENSG00000140945,82626965.0,83800640.0,16,(+),cadherin 13,,X,4,0,,,,,
AACS,ENSG00000081760,125065364.0,125144564.0,12,(+),acetoacetyl-CoA synthetase,,X,4,0,,,,,
KLHL6,ENSG00000172578,183487551.0,183555706.0,3,(-),kelch like family member 6,,X,4,0,,,,,
NR2F6,ENSG00000160113,17229207.0,17245953.0,19,(-),nuclear receptor subfamily 2 group F member 6,,X,4,0,,,,,
EXOC4,ENSG00000131558,133253054.0,134067137.0,7,(+),exocyst complex component 4,,X,4,0,,,,,
RBM4,ENSG00000173933,66637771.0,66668380.0,11,(+),RNA binding motif protein 4,,X,4; 5,0,,,,,
OTOP1,ENSG00000163982,4188726.0,4226929.0,4,(-),otopetrin 1,,X,4,0,,,,,
SLC1A6,ENSG00000105143,14950024.0,15022990.0,19,(-),solute carrier family 1 member 6,,X,4,0,,,,,
FFAR1,ENSG00000126266,35347902.0,35353864.0,19,(+),free fatty acid receptor 1,,X,4,0,,,,,
SLC39A7,ENSG00000112473,33200305.0,33204439.0,6,(+),solute carrier family 39 member 7,,X,4,0,,,,,
ACER3,ENSG00000078124,76860859.0,77026797.0,11,(+),alkaline ceramidase 3,,X,4,0,,,,,
RNPS1,ENSG00000205937,2253116.0,2268413.0,16,(-),RNA binding protein with serine rich domain 1,,X,4,0,,,,,
BICC1,ENSG00000122870,58512756.0,58831435.0,10,(+),BicC family RNA binding protein 1,,X,4; 5,0,,,,,
ALG11,ENSG00000253710,52011712.0,52079232.0,13,(+),"ALG11 alpha-1,2-mannosyltransferase",,X,4,0,,,,,
ATF7,ENSG00000170653,53507856.0,53626412.0,12,(-),activating transcription factor 7,,X,4; 5,0,,,,,
IRX3,ENSG00000177508,54283281.0,54287469.0,16,(-),iroquois homeobox 3,,X,4,0,,,,,
ULK2,ENSG00000083290,19770829.0,19867965.0,17,(-),unc-51 like autophagy activating kinase 2,,X,4,0,,,,,
BPGM,ENSG00000172331,134646784.0,134682319.0,7,(+),bisphosphoglycerate mutase,,X,4,0,,,,,
TUBB4A,ENSG00000104833,6494308.0,6502848.0,19,(-),tubulin beta 4A class IVa,,X,4,0,,,,,
MYOM1,ENSG00000101605,3066693.0,3220210.0,18,(-),myomesin 1,,X,4,0,,,,,
SRP9,ENSG00000143742,225777699.0,225790670.0,1,(+),signal recognition particle 9,X,X,4; 5; 18,1,,,,,
NUS1,ENSG00000153989,117675469.0,117710727.0,6,(+),NUS1 dehydrodolichyl diphosphate synthase subunit,,X,4,0,,,,,
ATG4D,ENSG00000130734,10543533.0,10553556.0,19,(+),autophagy related 4D cysteine peptidase,,X,4,0,,,,,
MUTYH,ENSG00000132781,45329163.0,45340893.0,1,(-),mutY DNA glycosylase,,X,4,0,,,,,
SNX30,ENSG00000148158,112750724.0,112881671.0,9,(+),sorting nexin family member 30,,X,4,0,,,,,
HSPH1,ENSG00000120694,31134876.0,31162388.0,13,(-),heat shock protein family H (Hsp110) member 1,,X,4,0,,,,,
UBL4A,ENSG00000102178,154483717.0,154486661.0,X,(-),ubiquitin like 4A,,X,4,0,,,,,
SLC35B2,ENSG00000157593,44253872.0,44257890.0,6,(-),solute carrier family 35 member B2,,X,4,0,,,,,
FHDC1,ENSG00000137460,152935880.0,152979697.0,4,(+),FH2 domain containing 1,,X,4,0,,,,,
PRKAR2A,ENSG00000114302,48744591.0,48847894.0,3,(-),protein kinase cAMP-dependent type II regulatory subunit alpha,,X,4,0,,,,,
ANXA5,ENSG00000164111,121644102.0,121697330.0,4,(-),annexin A5,X,X,4; 18,1,,,,,
PPP5C,ENSG00000011485,46346994.0,46393000.0,19,(+),protein phosphatase 5 catalytic subunit,,X,4,0,,,,,
THRIL,ENSG00000280634,125025434.0,125027410.0,12,(-),TNF and HNRNPL related immunoregulatory long non-coding RNA,,X,4; 5,0,,,,,
PLA2G15,ENSG00000103066,68245304.0,68261063.0,16,(+),phospholipase A2 group XV,,X,4,0,,,,,
MRPL49,ENSG00000149792,65122183.0,65127371.0,11,(+),mitochondrial ribosomal protein L49,,X,4,0,,,,,
SPG21,ENSG00000090487,64954566.0,64990312.0,15,(-),"SPG21 abhydrolase domain containing, maspardin",,X,4,0,,,,,
RRP12,ENSG00000052749,97356357.0,97426076.0,10,(-),ribosomal RNA processing 12 homolog,,X,4,0,,,,,
NRP1,ENSG00000099250,33177492.0,33336262.0,10,(-),neuropilin 1,,X,4,0,,,,,
PRR7,ENSG00000131188,177446445.0,177456291.0,5,(+),"proline rich 7, synaptic",,X,4,0,,,,,
UGT2B7,ENSG00000171234,69051363.0,69112987.0,4,(+),UDP glucuronosyltransferase family 2 member B7,,X,4,0,,,,,
MST1R,ENSG00000164078,49886902.0,49906130.0,3,(-),macrophage stimulating 1 receptor,,X,4,0,,,,,
GLRX2,ENSG00000023572,193078366.0,193106114.0,1,(-),glutaredoxin 2,,X,4,0,,,,,
AIF1L,ENSG00000126878,131096446.0,131123243.0,9,(+),allograft inflammatory factor 1 like,,X,4,0,,,,,
THAP9,ENSG00000168152,82900684.0,82920287.0,4,(+),THAP domain containing 9,,X,4,0,,,,,
ASCC2,ENSG00000100325,29788044.0,29838304.0,22,(-),activating signal cointegrator 1 complex subunit 2,,X,4,0,,,,,
CDC16,ENSG00000130177,114234856.0,114273445.0,13,(+),cell division cycle 16,,X,4,0,,,,,
URB2,ENSG00000135763,229625855.0,229661709.0,1,(+),URB2 ribosome biogenesis homolog,,X,4,0,,,,,
B3GNT3,ENSG00000179913,17794697.0,17814175.0,19,(+),"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",,X,4,0,,,,,
SMAD1,ENSG00000170365,145480769.0,145559191.0,4,(+),SMAD family member 1,,X,4,0,,,,,
ULK4,ENSG00000168038,41246599.0,41962236.0,3,(-),unc-51 like kinase 4,,X,4,0,,,,,
USO1,ENSG00000138768,75724522.0,75814290.0,4,(+),USO1 vesicle transport factor,,X,4,0,,,,,
MOB3B,ENSG00000120162,27325209.0,27529829.0,9,(-),MOB kinase activator 3B,,X,4,0,,,,,
SSX7,ENSG00000187754,52644061.0,52654900.0,X,(-),SSX family member 7,,X,4,0,,,,,
SLC8A3,ENSG00000100678,70044215.0,70189480.0,14,(-),solute carrier family 8 member A3,,X,4,0,,,,,
OR4D9,ENSG00000172742,59511368.0,59520703.0,11,(+),olfactory receptor family 4 subfamily D member 9,,X,4,0,,,,,
TRBV19,ENSG00000211746,142618849.0,142619532.0,7,(+),T cell receptor beta variable 19,,X,4,0,,,,,
DCAF4,ENSG00000119599,72926358.0,72962098.0,14,(+),DDB1 and CUL4 associated factor 4,,X,4,0,,,,,
PLPP6,ENSG00000205808,4662294.0,4665258.0,9,(+),phospholipid phosphatase 6,,X,4,0,,,,,
CPTP,ENSG00000224051,1324756.0,1328897.0,1,(+),ceramide-1-phosphate transfer protein,,X,4,0,,,,,
MAT2A,ENSG00000168906,85539163.0,85545281.0,2,(+),methionine adenosyltransferase 2A,,X,4,0,,,,,
SYN1,ENSG00000008056,47571890.0,47619970.0,X,(-),synapsin I,,X,4,0,,,,,
AGPAT1,ENSG00000204310,32167118.0,32178112.0,6,(-),1-acylglycerol-3-phosphate O-acyltransferase 1,,X,4,0,,,,,
SKP1P2,ENSG00000256211,16989126.0,16989936.0,12,(+),S-phase kinase associated protein 1 pseudogene 2,,X,4,0,,,,,
ZNF614,ENSG00000142556,52012765.0,52030240.0,19,(-),zinc finger protein 614,,X,4,0,,,,,
SMU1,ENSG00000122692,33041765.0,33081411.0,9,(-),SMU1 DNA replication regulator and spliceosomal factor,,X,4,0,,,,,
FRMD1,ENSG00000153303,168053095.0,168101511.0,6,(-),FERM domain containing 1,,X,4; 6,0,,,,,
TTLL7,ENSG00000137941,83865024.0,83999413.0,1,(-),tubulin tyrosine ligase like 7,,X,4,0,,,,,
ZDHHC5,ENSG00000156599,57667433.0,57702260.0,11,(+),zDHHC palmitoyltransferase 5,,X,4,0,,,,,
CFAP92,ENSG00000114656,128909866.0,129002690.0,3,(-),cilia and flagella associated protein 92 (putative),,X,4,0,,,,,
GET4,ENSG00000239857,876486.0,896441.0,7,(+),guided entry of tail-anchored proteins factor 4,,X,4,0,,,,,
TCAF1,ENSG00000198420,143850360.0,143903890.0,7,(-),TRPM8 channel associated factor 1,,X,4,0,,,,,
LETR1,ENSG00000248441,95166065.0,95327129.0,15,(-),lymphatic endothelial transcriptional regulator lncRNA 1,,X,4,0,,,,,
STK3,ENSG00000104375,98371228.0,98942827.0,8,(-),serine/threonine kinase 3,,X,4,0,,,,,
ART3,ENSG00000156219,76011176.0,76114094.0,4,(+),ADP-ribosyltransferase 3 (inactive),,X,4,0,,,,,
TGDS,ENSG00000088451,94574041.0,94596286.0,13,(-),"TDP-glucose 4,6-dehydratase",,X,4,0,,,,,
GRM2,ENSG00000164082,51707057.0,51718616.0,3,(+),glutamate metabotropic receptor 2,,X,4,0,,,,,
JCAD,ENSG00000165757,30012803.0,30115494.0,10,(-),junctional cadherin 5 associated,,X,4,0,,,,,
NTAN1,ENSG00000157045,15037853.0,15056082.0,16,(-),N-terminal asparagine amidase,X,X,4; 18,1,,,,,
RFX1,ENSG00000132005,13961529.0,14007084.0,19,(-),regulatory factor X1,,X,4,0,,,,,
FRG1FP,ENSG00000283047,10939388.0,10961338.0,22,(-),"FSHD region gene 1 family member F, pseudogene",,X,4,0,,,,,
FHAD1,ENSG00000142621,15236521.0,15400283.0,1,(+),forkhead associated phosphopeptide binding domain 1,,X,4,0,,,,,
AKAP9,ENSG00000127914,91940837.0,92112177.0,7,(+),A-kinase anchoring protein 9,X,X,4; 18,1,,,,,
CD44,ENSG00000026508,35138721.0,35232402.0,11,(+),CD44 molecule (IN blood group),X,X,4; 18,1,,,,,
OSBP,ENSG00000110048,59574398.0,59615792.0,11,(-),oxysterol binding protein,,X,4,0,,,,,
TMEM102,ENSG00000181284,7435344.0,7437679.0,17,(+),transmembrane protein 102,,X,4,0,,,,,
TAF9,ENSG00000273841,69362026.0,69370026.0,5,(-),TATA-box binding protein associated factor 9,X,X,4; 13,1,,,,,
CYLD,ENSG00000083799,50742032.0,50801935.0,16,(+),CYLD lysine 63 deubiquitinase,X,X,4; 18,1,,,,,
PLBD2,ENSG00000151176,113358543.0,113391629.0,12,(+),phospholipase B domain containing 2,,X,4,0,,,,,
MSNP1,ENSG00000251593,25909503.0,25911234.0,5,(+),moesin pseudogene 1,,X,4,0,,,,,
PAQR5,ENSG00000137819,69298888.0,69410266.0,15,(+),progestin and adipoQ receptor family member 5,,X,4,0,,,,,
CDKN2D,ENSG00000129355,10566460.0,10569059.0,19,(-),cyclin dependent kinase inhibitor 2D,X,X,4; 18,1,,,,,
RHOA,ENSG00000067560,49359136.0,49412998.0,3,(-),ras homolog family member A,X,X,4; 18,1,,,,,
ADD1,ENSG00000087274,2843576.0,2930082.0,4,(+),adducin 1,X,X,4; 18,1,,,,,
CDC5L,ENSG00000096401,44387547.0,44450924.0,6,(+),cell division cycle 5 like,,X,4,0,,,,,
CCT3,ENSG00000163468,156308792.0,156367873.0,1,(-),chaperonin containing TCP1 subunit 3,,X,4,0,,,,,
ATP9A,ENSG00000054793,51596512.0,51768716.0,20,(-),ATPase phospholipid transporting 9A (putative),,X,4,0,,,,,
RARS2,ENSG00000146282,87513459.0,87590028.0,6,(-),"arginyl-tRNA synthetase 2, mitochondrial",,X,4,0,,,,,
SCP2,ENSG00000116171,52927255.0,53051708.0,1,(+),sterol carrier protein 2,,X,4,0,,,,,
PHF2,ENSG00000197724,93576366.0,93679599.0,9,(+),PHD finger protein 2,,X,4,0,,,,,
CSKMT,ENSG00000214756,62665309.0,62668496.0,11,(+),citrate synthase lysine methyltransferase,,X,4,0,,,,,
RPL41P2,ENSG00000256338,28315651.0,28316059.0,15,(+),ribosomal protein L41 pseudogene 2,,X,4,0,,,,,
NAPEPLD,ENSG00000161048,103099776.0,103151172.0,7,(-),N-acyl phosphatidylethanolamine phospholipase D,,X,4,0,,,,,
EIF1P7,ENSG00000213772,9271292.0,9271628.0,2,(-),eukaryotic translation initiation factor 1 pseudogene 7,,X,4,0,,,,,
SBNO1,ENSG00000139697,123289109.0,123365220.0,12,(-),strawberry notch homolog 1,,X,4,0,,,,,
H2BC11,ENSG00000124635,27087321.0,27133883.0,6,(-),H2B clustered histone 11,X,X,4; 18,1,,,,,
RCL1,ENSG00000120158,4792881.0,4928572.0,9,(+),RNA terminal phosphate cyclase like 1,,X,4,0,,,,,
GTF2E2,ENSG00000197265,30578318.0,30660846.0,8,(-),general transcription factor IIE subunit 2,,X,4,0,,,,,
DDX19B,ENSG00000157349,70289663.0,70335992.0,16,(+),DEAD-box helicase 19B,,X,4,0,,,,,
NELFA,ENSG00000185049,1982715.0,2041903.0,4,(-),negative elongation factor complex member A,,X,4,0,,,,,
SCIMP,ENSG00000161929,5208915.0,5234869.0,17,(-),SLP adaptor and CSK interacting membrane protein,,X,4,0,,,,,
CD99,ENSG00000292348,2690988.0,2741312.0,Y,(+),CD99 molecule (Xg blood group),X,X,4; 18,1,,,,,
RNF216,ENSG00000011275,5620047.0,5781696.0,7,(-),ring finger protein 216,,X,4,0,,,,,
HOXA3,ENSG00000105997,27106184.0,27152610.0,7,(-),homeobox A3,,X,4,0,,,,,
OR6C6,ENSG00000188324,55293988.0,55296569.0,12,(-),olfactory receptor family 6 subfamily C member 6,,X,4,0,,,,,
PPP1R18,ENSG00000146112,30676389.0,30687895.0,6,(-),protein phosphatase 1 regulatory subunit 18,X,X,4; 18,1,,,,,
POLR2B,ENSG00000047315,56977711.0,57031158.0,4,(+),RNA polymerase II subunit B,,X,4,0,,,,,
WDR3,ENSG00000065183,117929063.0,117966543.0,1,(+),WD repeat domain 3,,X,4,0,,,,,
BICD2,ENSG00000185963,92711363.0,92764866.0,9,(-),BICD cargo adaptor 2,,X,4,0,,,,,
TXLNA,ENSG00000084652,32178097.0,32198299.0,1,(+),taxilin alpha,,X,4,0,,,,,
MIEF1,ENSG00000100335,39499432.0,39518132.0,22,(+),mitochondrial elongation factor 1,,X,4,0,,,,,
LEMD3,ENSG00000174106,65169342.0,65248485.0,12,(+),LEM domain containing 3,,X,4,0,,,,,
RPL36,ENSG00000130255,5674947.0,5691881.0,19,(+),ribosomal protein L36,X,X,4; 5; 18,1,,,,,
PDCD6,ENSG00000249915,271452.0,314978.0,5,(+),programmed cell death 6,,X,4,0,,,,,
RPL37,ENSG00000145592,40822128.0,40835336.0,5,(-),ribosomal protein L37,X,X,4; 5; 18,1,,,,,
LRP11,ENSG00000120256,149793455.0,149864424.0,6,(-),LDL receptor related protein 11,,X,4,0,,,,,
TTYH3,ENSG00000136295,2631898.0,2664816.0,7,(+),tweety family member 3,,X,4,0,,,,,
LARP1B,ENSG00000138709,128060638.0,128222931.0,4,(+),La ribonucleoprotein 1B,,X,4,0,,,,,
AGBL5,ENSG00000084693,27042364.0,27070622.0,2,(+),AGBL carboxypeptidase 5,,X,4,0,,,,,
OAZ1,ENSG00000104904,2269509.0,2273492.0,19,(+),ornithine decarboxylase antizyme 1,X,X,4; 18,1,,,,,
LTBP1,ENSG00000049323,32946472.0,33400509.0,2,(+),latent transforming growth factor beta binding protein 1,,X,4,0,,,,,
EHMT1,ENSG00000181090,137618901.0,137870016.0,9,(+),euchromatic histone lysine methyltransferase 1,,X,4,0,,,,,
UCP2,ENSG00000175567,73973431.0,73983542.0,11,(-),uncoupling protein 2,X,X,4; 18,1,,,,,
IGF2R,ENSG00000197081,159969033.0,160113507.0,6,(+),insulin like growth factor 2 receptor,,X,4,0,,,,,
PDE3B,ENSG00000152270,14643663.0,14874657.0,11,(+),phosphodiesterase 3B,X,X,4; 18,1,,,,,
METRNL,ENSG00000176845,83079583.0,83095125.0,17,(+),"meteorin like, glial cell differentiation regulator",X,X,4; 18,1,,,,,
ARFGAP2,ENSG00000149182,47135667.0,47177474.0,11,(-),ARF GTPase activating protein 2,,X,4,0,,,,,
INTS11,ENSG00000127054,1311585.0,1324688.0,1,(-),integrator complex subunit 11,,X,4,0,,,,,
RBM38,ENSG00000132819,57391389.0,57409333.0,20,(+),RNA binding motif protein 38,X,X,4; 18,1,,,,,
MYO10,ENSG00000145555,16661907.0,16936317.0,5,(-),myosin X,,X,4,0,,,,,
SASH1,ENSG00000111961,148272304.0,148552044.0,6,(+),SAM and SH3 domain containing 1,,X,4,0,,,,,
